"REGION","URBANICITY","MAKE","MODEL","BODY_TYP","MOD_YEAR","GVWR","ROLLOVER","IMPACT1","DEFORMED","FIRE_EXP","SPEEDREL","P_CRASH2","ACC_TYPE","AGE","SEX","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","EJECTION","ALCH_TRANS","DRUGS_TRANS"
"3","2","20","37","4","2006","0","0","6","6","0","0","13","1","45","1","1","11","3","20","0","0","0"
"3","2","20","37","4","2006","0","0","6","6","0","0","13","1","30","1","1","13","3","20","0","0","0"
"3","1","7","442","20","2013","0","0","12","4","0","0","50","20","51","1","1","11","3","9","0","0","0"
"3","1","37","31","4","2006","0","0","12","4","0","0","15","82","46","1","1","11","3","9","0","0","0"
"3","1","49","43","4","2016","0","0","1","4","0","0","67","83","42","2","1","11","3","9","0","0","0"
"3","1","30","47","1","2007","0","0","12","6","0","0","50","20","46","1","3","11","99","9","0","0","0"
"3","1","20","470","22","2005","0","0","6","6","0","0","53","21","53","1","1","11","3","20","0","0","0"
"3","1","49","482","34","2014","0","0","6","6","0","0","53","98","40","1","1","11","3","20","0","0","0"
"3","1","13","14","6","2007","0","0","6","2","0","0","53","98","47","2","1","11","3","20","0","0","0"
"3","1","20","25","4","2016","0","0","12","4","0","0","13","1","29","2","3","13","3","8","0","0","0"
"3","1","37","31","4","2006","0","0","6","4","0","0","53","23","23","2","1","11","3","20","0","0","0"
"4","1","34","34","9","2001","0","0","81","6","0","0","15","68","36","1","3","11","3","9","0","0","0"
"4","1","12","461","29","2012","0","0","12","6","0","0","62","69","56","1","2","11","3","9","0","0","0"
"4","1","35","50","4","2014","0","0","62","6","0","0","15","82","22","1","3","11","20","8","1","0","0"
"3","1","63","402","14","2004","0","0","12","4","0","0","15","76","44","2","1","11","3","20","0","0","0"
"3","1","23","422","15","2016","0","0","6","2","0","0","53","21","47","2","1","11","3","20","0","0","0"
"4","1","12","880","67","1999","2","0","12","2","0","0","8","14","44","1","5","11","3","20","9","0","0"
"4","1","49","402","14","2016","0","0","6","4","0","0","53","29","50","2","1","11","3","20","0","0","0"
"4","1","20","473","34","2016","0","0","3","4","0","0","61","45","52","2","1","11","3","20","0","0","0"
"4","1","34","35","9","2016","0","0","6","4","0","0","53","21","47","1","1","11","3","20","0","0","0"
"4","1","34","35","9","2016","0","0","6","4","0","0","53","21","45","1","1","13","3","20","0","0","0"
"4","1","37","705","80","2003","0","0","12","6","0","0","62","69","34","1","1","11","19","20","8","0","0"
"3","1","37","32","4","2012","0","0","12","4","0","0","67","83","1","1","1","12","4","20","0","0","0"
"3","1","55","33","4","2017","0","0","3","6","0","0","15","68","20","2","1","13","3","9","0","0","0"
"3","1","55","35","4","2015","0","0","12","6","0","0","62","69","29","2","1","11","3","20","0","0","0"
"2","2","63","402","14","2012","0","0","12","9","0","0","87","13","57","2","9","11","99","99","9","0","0"
"2","2","63","402","14","2012","0","0","99","6","0","0","8","1","55","2","3","11","3","1","0","0","0"
"2","2","6","18","4","2015","0","0","6","2","0","0","53","21","25","2","1","11","99","20","0","0","0"
"2","2","20","471","34","2000","0","0","12","2","0","0","13","1","23","2","1","11","3","20","0","0","0"
"2","2","7","27","6","2014","0","0","12","6","0","0","62","69","46","2","1","11","3","8","0","0","0"
"2","2","49","40","4","2000","0","9","0","6","0","0","6","7","32","2","1","11","3","20","0","0","0"
"2","2","55","33","4","2017","0","0","12","9","0","0","87","13","23","1","9","11","99","99","9","0","0"
"2","2","12","23","4","2015","0","0","99","9","0","0","87","13","28","2","9","11","99","99","9","0","0"
"2","2","12","422","15","2017","0","0","12","9","0","0","87","13","31","2","9","11","99","99","9","0","0"
"2","2","20","2","4","2004","0","0","99","9","0","0","87","13","26","2","9","11","99","99","9","0","0"
"2","2","20","37","4","2006","0","0","12","6","0","0","13","6","999","9","1","13","3","1","0","0","0"
"2","2","12","481","39","2011","0","0","11","6","0","0","6","6","62","1","2","11","3","8","0","0","0"
"2","2","49","472","34","2000","0","1","12","6","0","0","13","1","71","1","4","11","3","20","0","0","0"
"2","2","23","481","34","2012","0","0","12","9","0","0","87","13","52","1","9","11","99","99","9","0","0"
"3","2","2","404","14","2004","0","1","12","6","0","4","51","24","16","1","3","11","3","20","0","0","0"
"3","2","12","3","2","2005","0","0","6","6","0","0","53","25","29","1","3","11","3","20","0","0","0"
"3","2","52","472","34","2007","0","0","9","6","0","0","19","89","77","1","3","11","3","20","0","0","0"
"3","2","12","461","21","1999","0","0","12","6","0","0","5","7","67","1","3","11","3","20","0","0","0"
"3","2","49","403","14","2017","0","0","12","2","0","0","17","86","21","2","2","12","3","20","0","0","0"
"3","2","20","401","14","2001","0","0","3","6","0","0","5","7","44","1","3","11","3","20","0","0","0"
"4","1","54","35","4","2005","0","0","12","6","0","0","10","50","25","1","2","11","3","20","0","0","0"
"4","1","55","33","4","2013","0","0","12","6","0","0","62","51","70","2","3","11","3","20","0","0","0"
"4","1","55","33","4","2013","0","0","12","6","0","0","62","51","18","2","2","21","3","20","0","0","0"
"4","1","49","442","20","1998","0","0","61","6","0","0","10","47","67","1","2","11","3","20","0","0","0"
"4","1","20","431","16","2003","0","0","81","6","0","0","61","98","25","2","1","11","3","9","0","0","0"
"4","1","37","705","80","2015","0","0","12","9","0","0","72","83","27","1","3","11","99","20","8","0","0"
"4","1","49","32","9","2015","0","0","12","6","0","0","17","86","53","2","2","11","3","9","0","0","0"
"4","1","49","32","4","2012","0","9","83","9","0","0","11","46","61","1","3","11","20","20","1","0","0"
"3","2","37","31","4","2014","0","1","12","6","0","0","13","1","19","2","3","11","99","8","0","0","0"
"3","2","49","40","4","1993","0","0","1","6","0","0","13","98","66","1","2","11","3","20","0","0","0"
"3","2","20","404","14","2012","0","9","12","6","0","0","66","86","28","2","3","11","3","20","0","0","0"
"3","2","37","31","4","2009","0","0","12","6","0","0","62","98","64","2","3","11","3","9","0","0","0"
"3","2","37","31","4","2009","0","0","12","6","0","0","62","98","57","1","2","13","3","9","0","0","0"
"3","2","12","17","4","2013","0","0","12","6","0","0","87","13","29","1","3","11","3","9","0","0","0"
"3","2","35","47","2","2008","0","1","9","6","0","0","12","6","48","1","1","11","20","9","0","0","0"
"3","2","35","47","2","2008","0","1","9","6","0","0","12","6","38","2","3","13","20","9","0","0","0"
"3","2","35","47","2","2008","0","1","9","6","0","0","12","6","7","2","2","23","20","9","0","0","0"
"3","2","35","47","2","2008","0","1","9","6","0","0","12","6","9","1","3","22","20","9","0","0","0"
"3","2","35","47","2","2008","0","1","9","6","0","0","12","6","5","2","2","21","20","9","0","0","0"
"2","2","63","402","14","2011","0","0","12","6","0","0","50","20","44","2","1","11","3","1","0","0","0"
"4","1","34","706","80","2015","0","0","0","6","0","0","5","98","38","1","2","11","19","20","8","0","0"
"4","1","34","705","80","2013","0","0","0","6","0","0","5","98","31","1","2","11","19","20","8","0","0"
"3","2","63","32","4","2009","0","0","12","2","0","0","13","1","21","2","1","11","3","20","0","0","0"
"3","2","20","37","4","2005","0","0","12","6","0","0","17","88","17","2","9","13","3","20","0","0","0"
"3","2","59","31","4","2003","0","0","11","6","0","0","66","89","18","1","9","13","3","20","0","0","0"
"3","2","12","37","5","2014","0","0","1","6","0","0","71","69","21","1","1","13","3","20","0","0","0"
"3","1","7","482","34","2007","0","0","12","6","0","0","12","6","33","1","3","11","20","1","0","0","0"
"3","1","47","37","5","2006","0","0","6","9","0","0","53","23","27","2","1","13","3","20","0","0","0"
"3","1","47","37","5","2006","0","0","6","9","0","0","53","23","32","2","1","21","2","20","0","0","0"
"3","1","99","399","9","9999","0","0","12","9","0","0","50","20","999","9","9","11","99","99","0","0","0"
"3","1","99","870","61","9999","2","0","11","9","0","9","10","47","999","9","9","11","99","99","0","0","0"
"3","1","63","32","4","2015","0","0","99","6","0","0","12","6","19","2","2","11","99","1","0","0","0"
"3","1","30","40","4","2004","0","0","12","6","0","0","12","6","32","2","2","11","3","20","0","0","0"
"3","1","59","31","4","1997","0","0","3","6","0","0","15","68","19","1","3","13","3","20","0","0","0"
"3","1","49","32","4","2016","0","0","12","6","0","3","12","6","21","2","1","19","3","20","0","0","0"
"3","2","6","18","4","2013","0","0","11","6","0","0","87","64","37","2","2","11","3","20","0","0","0"
"3","2","37","32","2","2002","0","0","8","6","0","0","62","65","19","2","3","11","3","1","0","0","0"
"3","2","49","40","4","2011","0","9","62","6","0","0","17","89","39","1","3","11","3","2","0","0","0"
"3","2","23","421","15","2006","0","0","12","6","0","0","66","88","39","1","2","11","3","2","0","0","0"
"3","2","23","421","15","2006","0","0","12","6","0","0","66","88","53","2","1","13","3","1","0","0","0"
"3","2","23","423","15","2015","0","0","12","6","0","0","62","69","32","2","2","11","3","8","0","0","0"
"3","2","23","423","15","2015","0","0","12","6","0","0","62","69","60","2","2","13","3","8","0","0","0"
"3","2","37","421","15","2015","0","0","6","0","0","0","53","21","52","2","1","11","3","20","0","0","0"
"3","2","87","884","66","2000","3","2","0","6","0","0","9","5","54","1","2","11","3","20","0","0","0"
"3","2","35","47","4","2003","0","0","12","6","0","0","10","98","38","1","3","11","3","8","0","0","0"
"3","2","35","39","4","2012","0","0","3","4","0","0","66","87","23","1","2","11","3","20","0","0","0"
"3","2","20","23","6","2010","0","0","12","4","0","0","70","79","27","2","1","11","3","8","0","0","0"
"3","2","2","422","15","2016","0","0","12","6","0","0","52","28","38","1","2","11","99","20","0","0","0"
"3","2","12","471","34","2011","0","0","12","6","0","0","66","88","22","1","2","11","3","1","0","0","0"
"3","2","7","999","49","9999","0","0","10","9","0","0","10","64","999","9","9","11","99","99","0","0","0"
"3","2","30","40","4","2007","0","0","12","6","0","5","13","1","56","2","2","11","3","1","0","0","0"
"3","2","48","38","8","2012","0","0","82","6","0","0","66","76","69","1","1","11","3","20","0","0","0"
"3","2","20","471","34","2001","0","0","12","6","0","3","51","24","18","1","2","11","20","20","0","1","1"
"3","2","19","20","6","2008","0","0","6","6","0","0","53","25","18","1","3","11","3","20","0","1","0"
"3","1","20","401","14","2000","0","1","4","6","0","0","67","83","36","1","3","11","3","20","0","0","0"
"3","1","37","706","80","2005","0","0","12","6","0","0","72","83","23","1","3","11","17","20","8","0","0"
