"PERMVIT","RELJCT1","WEIGHT","MAKE","MODEL","ROLLOVER","VNUM_LAN","VTRAFCON","PCRASH5","ACC_TYPE","MDLYR_IM","IMPACT1_IM","PCRASH1_IM","INJ_SEV","REST_USE","AIR_BAG","SEX_IM","AGE_IM"
1,0,27.351255626578276,20,403,0,2,98,4,6,2003,12,14,3,3,9,1,41
2,8,68.14022450564042,37,32,0,5,3,1,68,2017,1,11,2,3,9,2,42
2,0,27.33940402292555,58,33,0,3,0,4,2,1999,9,1,3,3,8,1,24
2,0,26.851705185313893,2,405,0,3,0,4,6,2008,12,1,3,20,8,2,36
2,0,26.851705185313893,49,40,0,5,0,1,98,2012,12,1,3,3,8,1,58
2,8,68.14022451783879,23,461,0,2,0,1,82,2008,11,11,2,3,20,2,26
5,8,33.75556455139427,37,402,0,2,3,1,20,2003,12,1,3,99,20,1,32
2,0,195.21146276703487,7,472,0,8,0,1,66,1989,11,1,2,3,20,1,26
1,0,167.29235227323002,20,481,1,2,0,4,7,1985,12,14,2,3,20,2,48
2,0,66.23651700907183,55,401,0,2,0,1,20,2016,12,1,2,8,1,2,70
1,0,42.03785470204418,12,3,1,3,0,4,6,1965,12,1,4,20,20,1,28
2,8,195.21146276703487,34,35,0,4,20,1,86,2001,12,1,2,3,9,2,38
2,8,195.21146276703487,12,471,0,2,20,1,87,1998,82,4,2,3,9,1,64
2,8,160.40766103184794,55,33,0,2,20,1,86,2011,12,1,2,3,20,2,32
2,0,15.057170474945769,30,46,0,5,0,1,21,2014,6,5,3,3,20,1,65
6,0,153.3553804152722,35,50,0,8,3,1,69,2012,12,1,2,8,8,2,44
2,0,28.83107912527661,76,706,0,5,0,1,98,2017,0,1,4,19,20,1,35
2,8,16.212958576204294,63,441,0,4,0,1,21,2017,6,5,3,3,20,1,51
1,0,27.351255619744823,23,441,1,4,98,4,6,1995,12,1,3,20,20,1,81
3,8,16.212958576204294,59,31,0,8,0,1,89,2015,9,1,3,3,20,2,80
2,0,27.351255619744823,49,43,0,3,98,1,28,1997,12,1,3,3,9,2,29
2,0,27.351255619744823,20,37,0,3,98,1,29,2015,6,2,2,3,20,1,43
2,0,132.45866697808205,54,36,0,3,98,1,98,2004,14,1,2,3,20,1,54
1,0,27.35125560549351,18,3,1,2,0,4,3,2005,12,14,3,3,20,2,85
1,0,26.94965435942614,23,401,1,2,0,4,1,2004,12,15,3,20,99,2,26
2,8,159.54854962314664,63,34,0,3,0,1,68,2012,12,11,2,3,9,2,55
1,0,26.851705191032803,19,21,0,2,0,4,6,2007,12,1,3,20,9,1,25
4,8,159.54854962314664,35,47,0,2,20,1,82,2013,11,11,2,3,8,2,69
2,8,14.05208646685653,20,9,0,2,0,1,48,2014,11,6,3,99,1,1,54
2,0,29.71208287092207,12,473,1,4,0,1,21,2002,6,5,3,3,20,1,23
1,0,160.40766109672913,35,421,0,2,0,4,7,2008,12,1,2,3,1,2,26
2,0,153.35538040232066,20,481,0,8,3,1,68,1996,1,11,2,8,20,1,56
1,0,29.71208287092207,30,47,0,2,0,4,2,2005,11,1,3,3,8,2,18
2,0,67.26078681833152,37,32,0,2,0,1,25,2017,6,1,2,3,20,2,36
